                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1429,                 3.7693,                0.96114,                0.02157,                0.83974,                0.12674,                0.04741,                  1.904,                 4.1731,                 1.1067,                0.00016,                0.00016,                0.00016
                      2,                 1.0836,                 2.9386,                0.93551,                0.01953,                0.96653,                0.17415,                 0.0568,                 1.4746,                  4.049,                 1.0085,             0.00032673,             0.00032673,             0.00032673
                      3,                 1.1732,                 2.5014,                0.96333,                0.01908,                0.97686,                0.19257,                0.07041,                 1.5192,                 3.7585,                 1.0159,              0.0004901,              0.0004901,              0.0004901
                      4,                 1.0691,                 2.1427,                 0.9469,                0.02179,                0.98366,                0.22036,                0.10319,                 1.4905,                 3.4381,                0.98663,              0.0006501,              0.0006501,              0.0006501
                      5,                  1.091,                  2.022,                0.95715,                0.40776,                0.68417,                0.31559,                0.18287,                 1.3414,                 2.9658,                 0.9679,             0.00080674,             0.00080674,             0.00080674
                      6,                  1.075,                 1.9643,                0.96867,                0.44594,                0.23373,                 0.3448,                0.22444,                 1.1706,                 2.6672,                 0.9443,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.0711,                 1.8685,                 0.9435,                0.28915,                0.75011,                0.33291,                0.17355,                 1.5513,                 2.3602,                 1.1217,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.0285,                 1.7996,                0.93145,                0.32117,                0.67588,                0.41025,                0.27569,                 1.1199,                  2.148,                0.96294,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.0148,                 1.7872,                0.95025,                0.34339,                0.85642,                0.44699,                0.25935,                 1.3922,                 1.8269,                 1.1197,              0.0009208,              0.0009208,              0.0009208
                     10,                0.95512,                 1.6732,                0.93202,                0.44172,                0.72015,                0.53666,                0.31628,                 1.3521,                 1.7573,                 1.0897,              0.0009109,              0.0009109,              0.0009109
                     11,                0.96093,                 1.6378,                0.91519,                0.37411,                0.82166,                  0.535,                0.32521,                 1.3174,                 1.7054,                  1.095,               0.000901,               0.000901,               0.000901
                     12,                0.96851,                  1.597,                0.91927,                0.45584,                0.84232,                0.63756,                0.42873,                 1.1199,                 1.5914,                 1.0187,              0.0008911,              0.0008911,              0.0008911
                     13,                0.96267,                 1.5554,                 0.9265,                0.48138,                0.83453,                0.55548,                0.36526,                 1.2306,                 1.6609,                 1.0283,              0.0008812,              0.0008812,              0.0008812
                     14,                0.94565,                 1.5449,                0.91553,                0.48349,                0.81027,                0.63097,                0.33204,                 1.6527,                 1.6535,                 1.2269,              0.0008713,              0.0008713,              0.0008713
                     15,                0.94993,                  1.517,                0.91466,                0.48519,                0.73844,                0.62159,                0.36791,                 1.3825,                 1.6467,                 1.1531,              0.0008614,              0.0008614,              0.0008614
                     16,                0.94706,                  1.506,                0.91668,                0.53454,                0.74237,                0.66094,                0.41197,                 1.3128,                 1.6703,                 1.1037,              0.0008515,              0.0008515,              0.0008515
                     17,                0.98185,                 1.4285,                0.93063,                0.53764,                 0.7834,                 0.6747,                0.44016,                 1.2087,                 1.5234,                 1.0556,              0.0008416,              0.0008416,              0.0008416
                     18,                0.95431,                 1.4298,                0.91667,                0.65544,                0.74975,                0.75849,                0.50556,                 1.1341,                 1.4018,                  1.021,              0.0008317,              0.0008317,              0.0008317
                     19,                0.94422,                  1.356,                0.92308,                0.66311,                0.80581,                0.81498,                0.49645,                 1.3152,                 1.2928,                 1.1151,              0.0008218,              0.0008218,              0.0008218
                     20,                0.94555,                 1.3213,                0.93151,                0.68203,                0.81781,                0.78508,                0.48584,                 1.3418,                  1.314,                 1.0853,              0.0008119,              0.0008119,              0.0008119
                     21,                0.92952,                 1.3087,                0.91267,                0.72601,                0.79966,                 0.8569,                0.55914,                 1.1822,                 1.2568,                 1.0434,               0.000802,               0.000802,               0.000802
                     22,                0.91009,                 1.2526,                0.90648,                0.69803,                0.83978,                0.84998,                0.51159,                 1.3755,                 1.2588,                  1.165,              0.0007921,              0.0007921,              0.0007921
                     23,                0.94537,                 1.2193,                0.91398,                0.82373,                0.80539,                0.89755,                 0.5494,                 1.3171,                 1.1963,                 1.1044,              0.0007822,              0.0007822,              0.0007822
                     24,                0.89151,                 1.1669,                0.91355,                0.74381,                0.84198,                0.86882,                0.61621,                 1.0226,                 1.2364,                0.99357,              0.0007723,              0.0007723,              0.0007723
                     25,                0.93562,                 1.1922,                0.91181,                 0.8441,                0.80428,                0.90113,                0.62678,                 1.0887,                 1.1928,                 1.0111,              0.0007624,              0.0007624,              0.0007624
                     26,                 0.8997,                 1.1332,                0.91066,                0.82582,                0.84536,                0.89585,                0.60014,                 1.1238,                 1.1167,                 1.0393,              0.0007525,              0.0007525,              0.0007525
                     27,                0.93308,                 1.1257,                0.92563,                0.83503,                0.86237,                0.90632,                0.54825,                   1.34,                 1.1818,                 1.1266,              0.0007426,              0.0007426,              0.0007426
                     28,                0.92991,                 1.1011,                 0.9214,                 0.7928,                0.88414,                0.89906,                0.63886,                  1.031,                 1.0909,                0.99533,              0.0007327,              0.0007327,              0.0007327
                     29,                0.88485,                 1.0669,                0.89894,                0.79174,                0.82721,                0.88956,                0.60821,                 1.1307,                 1.1286,                  1.038,              0.0007228,              0.0007228,              0.0007228
                     30,                0.93173,                 1.0713,                0.93202,                0.88896,                0.86135,                0.91294,                0.54883,                 1.3589,                 1.0563,                 1.1203,              0.0007129,              0.0007129,              0.0007129
                     31,                0.91746,                 1.0413,                0.91195,                0.88211,                0.87252,                0.93955,                0.56326,                 1.3617,                0.97119,                 1.1402,               0.000703,               0.000703,               0.000703
                     32,                0.89688,                0.99704,                0.92025,                 0.8954,                0.87173,                0.94573,                0.57021,                 1.3575,                0.97424,                 1.1352,              0.0006931,              0.0006931,              0.0006931
                     33,                0.88169,                0.99912,                0.90743,                0.83801,                0.79557,                0.88575,                0.61178,                 1.1108,                 1.1282,                 1.0397,              0.0006832,              0.0006832,              0.0006832
                     34,                0.89324,                 1.0216,                0.91067,                0.92409,                0.90933,                0.97041,                0.62968,                 1.2436,                0.90839,                  1.091,              0.0006733,              0.0006733,              0.0006733
                     35,                 0.9205,                0.98174,                0.92336,                 0.8824,                0.87492,                0.94767,                0.50593,                 1.6184,                 1.0282,                 1.2563,              0.0006634,              0.0006634,              0.0006634
                     36,                0.92739,                0.95662,                0.91684,                0.88015,                0.89412,                 0.9477,                0.55172,                 1.4526,                0.99649,                 1.1607,              0.0006535,              0.0006535,              0.0006535
                     37,                0.93792,                0.94366,                 0.9168,                0.94584,                0.87523,                 0.9646,                0.66004,                 1.1364,                0.91723,                 1.0317,              0.0006436,              0.0006436,              0.0006436
                     38,                0.86213,                0.92731,                0.90373,                0.92938,                0.88517,                 0.9622,                0.64425,                 1.1875,                0.86686,                 1.0592,              0.0006337,              0.0006337,              0.0006337
                     39,                0.86198,                0.87903,                0.91379,                0.92834,                0.91864,                0.96894,                0.68303,                 1.0666,                  0.845,                 1.0056,              0.0006238,              0.0006238,              0.0006238
                     40,                0.87922,                0.86311,                0.91284,                 0.8797,                0.89999,                0.94412,                0.61525,                 1.2399,                0.97618,                 1.0764,              0.0006139,              0.0006139,              0.0006139
                     41,                0.91196,                0.89756,                0.91191,                0.82352,                0.88346,                0.92146,                0.64539,                  1.079,                 1.0046,                 1.0153,               0.000604,               0.000604,               0.000604
                     42,                0.88318,                0.86021,                0.91572,                0.94212,                0.87972,                 0.9671,                0.56845,                 1.4036,                0.87615,                 1.1735,              0.0005941,              0.0005941,              0.0005941
                     43,                0.89097,                0.86751,                0.91286,                0.94277,                0.90758,                 0.9719,                0.57326,                 1.4067,                0.86659,                  1.174,              0.0005842,              0.0005842,              0.0005842
                     44,                0.89497,                0.87145,                0.91387,                0.94645,                0.95496,                0.97906,                0.65371,                 1.1852,                0.80536,                  1.056,              0.0005743,              0.0005743,              0.0005743
                     45,                0.86026,                0.83715,                0.89803,                0.87719,                0.90306,                0.94309,                0.67461,                 1.0517,                0.89782,                 1.0083,              0.0005644,              0.0005644,              0.0005644
                     46,                0.88204,                 0.8699,                0.90346,                0.91161,                0.91497,                0.95438,                0.68808,                 1.0449,                0.84639,                 1.0116,              0.0005545,              0.0005545,              0.0005545
                     47,                0.89487,                0.82734,                0.90716,                0.92575,                0.94777,                  0.983,                0.62112,                 1.2962,                0.79123,                 1.1161,              0.0005446,              0.0005446,              0.0005446
                     48,                0.88165,                0.82604,                0.91048,                0.92014,                0.92778,                0.97974,                0.61593,                 1.2953,                 0.8101,                 1.1273,              0.0005347,              0.0005347,              0.0005347
                     49,                0.83687,                0.80322,                0.89133,                0.96526,                0.93774,                0.98335,                0.67022,                 1.1791,                0.74878,                 1.0727,              0.0005248,              0.0005248,              0.0005248
                     50,                0.88295,                  0.798,                0.91145,                0.94825,                0.92719,                 0.9793,                0.65602,                 1.1979,                0.82505,                 1.0666,              0.0005149,              0.0005149,              0.0005149
                     51,                0.85852,                 0.8379,                 0.8951,                0.96668,                0.91774,                0.98491,                0.56999,                  1.496,                0.80165,                 1.2361,               0.000505,               0.000505,               0.000505
