                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0221,                0.76894,                0.90817,                0.92207,                0.94206,                0.96706,                0.66558,                 1.1257,                0.66424,                  1.003,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.0315,                0.77947,                0.90986,                0.91537,                 0.9209,                0.96444,                0.66468,                  1.123,                0.65147,                0.99533,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.0285,                0.80137,                0.90861,                0.93258,                0.92689,                0.98024,                0.63416,                  1.233,                0.64502,                 1.0567,              0.0006535,              0.0006535,              0.0006535
                     37,                0.97985,                0.75485,                0.90457,                0.89527,                0.90234,                0.95058,                 0.6629,                 1.1118,                0.66778,                0.99745,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.0411,                0.74057,                0.91233,                0.96482,                0.93711,                0.98329,                0.64515,                 1.2281,                0.63068,                 1.0398,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.0165,                0.71737,                0.91542,                0.93565,                0.93343,                0.98212,                0.67077,                 1.1348,                0.61861,                 1.0131,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.0172,                0.73654,                0.90826,                0.93692,                0.91527,                0.95994,                0.67818,                 1.0502,                0.62051,                0.98347,              0.0006139,              0.0006139,              0.0006139
                     41,                   1.04,                0.73039,                0.91879,                0.96071,                0.91727,                0.98095,                0.66865,                 1.1251,                0.61166,                 1.0077,               0.000604,               0.000604,               0.000604
                     42,                 1.0138,                0.72036,                0.91141,                0.93184,                0.94265,                0.95285,                0.66526,                 1.0857,                0.59104,                0.99629,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.0032,                0.70953,                 0.9057,                0.95707,                0.94414,                0.97418,                0.66126,                  1.182,                0.57398,                 1.0287,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.0096,                0.71152,                0.91464,                0.92939,                0.96068,                 0.9823,                0.67761,                 1.0998,                 0.5913,                0.98963,              0.0005743,              0.0005743,              0.0005743
                     45,                0.99517,                0.71002,                 0.8998,                 0.9304,                0.93603,                0.96582,                0.62803,                  1.227,                0.60647,                  1.051,              0.0005644,              0.0005644,              0.0005644
                     46,                0.95777,                 0.7074,                0.89125,                0.94059,                0.94832,                0.97346,                0.57597,                 1.4406,                0.64569,                 1.1624,              0.0005545,              0.0005545,              0.0005545
                     47,                 0.9787,                 0.6924,                 0.9026,                0.93941,                0.95811,                0.97309,                 0.6465,                 1.1783,                0.58575,                 1.0317,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.0011,                0.68022,                0.90418,                0.92714,                0.95833,                0.98403,                0.67581,                 1.1426,                0.59835,                 1.0133,              0.0005347,              0.0005347,              0.0005347
                     49,                0.94408,                0.67528,                0.88857,                0.96236,                0.96221,                0.98791,                0.70317,                 1.0677,                 0.5318,                0.97609,              0.0005248,              0.0005248,              0.0005248
                     50,                0.98496,                0.68444,                0.90299,                0.93214,                0.97885,                0.98372,                0.65194,                 1.1852,                0.57249,                  1.031,              0.0005149,              0.0005149,              0.0005149
                     51,                0.95461,                  0.664,                 0.8955,                0.93857,                0.93013,                0.96623,                0.66388,                 1.1447,                 0.5908,                 1.0174,               0.000505,               0.000505,               0.000505
                     52,                0.97224,                0.66251,                0.90441,                0.91312,                0.95056,                0.97554,                0.69197,                 1.0778,                0.56847,                0.98258,              0.0004951,              0.0004951,              0.0004951
                     53,                0.95513,                0.66843,                0.89568,                0.97045,                0.96173,                0.98658,                0.64935,                 1.2422,                0.54552,                  1.064,              0.0004852,              0.0004852,              0.0004852
                     54,                0.95546,                 0.6591,                0.89568,                0.96812,                0.97628,                0.98709,                0.63879,                 1.2963,                0.54272,                 1.0868,              0.0004753,              0.0004753,              0.0004753
                     55,                0.97377,                0.65143,                0.89487,                0.97422,                0.96255,                0.98875,                0.69743,                  1.078,                0.52059,                0.98885,              0.0004654,              0.0004654,              0.0004654
                     56,                0.98415,                0.64412,                0.90268,                0.94727,                0.95898,                0.97863,                0.64904,                 1.2035,                0.56887,                 1.0445,              0.0004555,              0.0004555,              0.0004555
                     57,                 0.9838,                0.64178,                 0.8996,                0.96564,                0.94642,                0.98202,                0.68875,                  1.101,                0.54319,                0.99037,              0.0004456,              0.0004456,              0.0004456
                     58,                0.97449,                0.64716,                0.89809,                0.95926,                0.95106,                0.98119,                0.61118,                 1.3335,                 0.5733,                   1.12,              0.0004357,              0.0004357,              0.0004357
                     59,                0.94668,                0.62811,                0.89472,                0.96361,                0.97907,                0.98688,                0.69765,                   1.06,                0.53691,                0.97633,              0.0004258,              0.0004258,              0.0004258
                     60,                0.95955,                0.63158,                0.89185,                0.96946,                  0.982,                0.98785,                0.67242,                 1.1465,                0.51763,                 1.0159,              0.0004159,              0.0004159,              0.0004159
                     61,                0.95095,                0.62767,                0.89132,                0.96973,                0.96001,                0.98759,                0.67143,                 1.1452,                0.51143,                 1.0177,               0.000406,               0.000406,               0.000406
                     62,                0.94671,                0.61597,                  0.887,                0.97972,                0.97294,                0.99013,                0.70754,                 1.0483,                0.49739,                0.97146,              0.0003961,              0.0003961,              0.0003961
                     63,                0.94042,                0.63045,                 0.8898,                0.94092,                0.97189,                0.98161,                0.62886,                 1.3109,                0.57164,                 1.0953,              0.0003862,              0.0003862,              0.0003862
                     64,                0.97554,                0.62082,                0.90315,                0.93237,                0.97317,                0.97513,                0.67377,                 1.1156,                0.53055,                 1.0049,              0.0003763,              0.0003763,              0.0003763
                     65,                0.94491,                  0.593,                0.89453,                0.94952,                 0.9706,                0.98214,                0.64901,                 1.2013,                0.54462,                 1.0481,              0.0003664,              0.0003664,              0.0003664
                     66,                0.91718,                0.60841,                 0.8805,                0.95664,                0.95248,                0.98408,                0.64903,                 1.2186,                0.53928,                 1.0588,              0.0003565,              0.0003565,              0.0003565
                     67,                0.91128,                0.60541,                 0.8937,                0.96599,                0.96796,                0.98788,                0.68091,                 1.1349,                0.51482,                 1.0083,              0.0003466,              0.0003466,              0.0003466
                     68,                0.90685,                0.60905,                0.88419,                0.96628,                0.97613,                0.98667,                0.71344,                 1.0286,                0.50565,                0.96216,              0.0003367,              0.0003367,              0.0003367
                     69,                0.89634,                0.58603,                 0.8805,                0.95331,                0.97917,                0.98847,                0.67164,                 1.1679,                0.51164,                 1.0246,              0.0003268,              0.0003268,              0.0003268
                     70,                0.92864,                0.59713,                0.88755,                0.96302,                0.96307,                0.98004,                0.65989,                 1.1701,                0.51899,                 1.0355,              0.0003169,              0.0003169,              0.0003169
                     71,                 0.8941,                0.57773,                 0.8765,                0.95914,                0.97857,                0.98872,                0.71342,                 1.0475,                0.49563,                0.97211,               0.000307,               0.000307,               0.000307
                     72,                0.89253,                0.58501,                0.87902,                 0.9653,                0.97565,                0.98779,                0.70113,                 1.0812,                0.49912,                0.98243,              0.0002971,              0.0002971,              0.0002971
                     73,                0.90177,                0.57196,                0.88292,                0.97357,                0.98152,                0.98827,                0.68819,                  1.098,                0.49666,                0.99221,              0.0002872,              0.0002872,              0.0002872
                     74,                0.88654,                0.57387,                0.88171,                 0.9617,                0.97699,                0.98654,                0.70425,                 1.0536,                0.49137,                0.97572,              0.0002773,              0.0002773,              0.0002773
                     75,                 0.8782,                0.57072,                0.87664,                 0.9567,                0.97969,                0.98592,                0.67551,                 1.1392,                0.49971,                  1.019,              0.0002674,              0.0002674,              0.0002674
                     76,                0.90711,                0.56493,                0.88922,                0.95949,                 0.9776,                0.98012,                0.69116,                 1.1043,                0.49418,                0.99674,              0.0002575,              0.0002575,              0.0002575
                     77,                0.90561,                0.56602,                0.88288,                0.96727,                0.95907,                0.98596,                0.71085,                  1.055,                0.48598,                0.96888,              0.0002476,              0.0002476,              0.0002476
                     78,                0.90172,                0.56507,                0.87602,                0.98004,                0.95436,                0.98408,                0.68014,                  1.135,                0.48809,                 1.0195,              0.0002377,              0.0002377,              0.0002377
                     79,                0.88926,                0.55683,                0.88577,                0.96588,                0.97959,                0.98693,                0.68542,                 1.1078,                0.47838,                  1.008,              0.0002278,              0.0002278,              0.0002278
                     80,                   0.89,                0.56751,                0.88019,                0.97921,                0.97754,                 0.9885,                0.69498,                 1.0972,                0.47131,                0.99636,              0.0002179,              0.0002179,              0.0002179
                     81,                0.87915,                0.55641,                0.87823,                0.97934,                0.96656,                0.98552,                0.68525,                 1.1175,                0.48352,                 1.0091,               0.000208,               0.000208,               0.000208
                     82,                0.88066,                0.55138,                0.87358,                0.97076,                0.97354,                0.98583,                0.68568,                 1.1046,                0.48023,                 1.0045,              0.0001981,              0.0001981,              0.0001981
                     83,                 0.8621,                0.54643,                0.87851,                0.95224,                0.98055,                0.98563,                0.68569,                 1.1092,                0.48251,                 1.0061,              0.0001882,              0.0001882,              0.0001882
                     84,                0.86251,                0.54468,                0.87736,                0.97988,                0.97671,                0.98839,                0.67363,                 1.1501,                0.47754,                  1.031,              0.0001783,              0.0001783,              0.0001783
                     85,                0.88004,                0.54094,                0.87708,                0.98123,                0.97877,                  0.988,                0.70635,                 1.0601,                0.46722,                0.97847,              0.0001684,              0.0001684,              0.0001684
                     86,                0.86098,                0.53669,                0.87754,                0.96748,                0.98256,                0.98806,                0.69839,                 1.0914,                0.46992,                 0.9898,              0.0001585,              0.0001585,              0.0001585
                     87,                0.84782,                0.53452,                0.87165,                0.96528,                0.98105,                0.98635,                0.70342,                 1.0813,                0.47816,                0.97888,              0.0001486,              0.0001486,              0.0001486
                     88,                0.86446,                0.53409,                0.87296,                0.97003,                0.98198,                0.98998,                0.71041,                 1.0675,                0.46707,                0.97825,              0.0001387,              0.0001387,              0.0001387
                     89,                0.84356,                0.52584,                0.86836,                0.96079,                 0.9848,                 0.9884,                0.68933,                 1.1203,                0.47275,                 1.0101,              0.0001288,              0.0001288,              0.0001288
                     90,                0.85376,                0.51303,                0.87186,                0.97558,                0.98557,                 0.9893,                0.67864,                 1.1424,                0.46999,                 1.0193,              0.0001189,              0.0001189,              0.0001189
                     91,                0.84046,                0.46823,                0.88565,                0.96705,                0.97669,                0.98428,                0.67556,                 1.1525,                0.48947,                 1.0308,               0.000109,               0.000109,               0.000109
                     92,                0.85437,                0.47073,                0.88674,                0.97283,                0.97672,                0.98538,                0.68914,                 1.1044,                0.47617,                  1.004,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.82089,                0.45778,                0.87919,                0.96758,                0.95596,                0.98323,                0.68981,                 1.1016,                0.48156,                0.99893,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.83905,                  0.467,                0.87891,                0.96339,                0.97463,                0.98642,                0.66391,                 1.1794,                0.48533,                 1.0495,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.81689,                0.45168,                0.87681,                0.96769,                0.97102,                0.98674,                0.69825,                 1.0818,                0.46722,                0.99038,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.82413,                0.45491,                0.88023,                0.97098,                0.97159,                0.98657,                0.69162,                 1.1137,                0.47498,                 1.0074,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.82366,                0.44701,                0.87714,                 0.9706,                0.96588,                0.98334,                0.68192,                 1.1342,                0.47303,                 1.0232,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.81172,                0.45121,                0.87747,                0.95191,                0.98444,                0.98542,                0.70522,                 1.0569,                0.46362,                0.98075,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.81252,                0.45192,                0.87823,                0.95113,                0.98617,                0.98545,                0.68665,                 1.1026,                  0.467,                 1.0047,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.81397,                0.44816,                0.88062,                0.96867,                0.96972,                0.98745,                0.69764,                 1.0919,                0.46366,                0.99414,               1.99e-05,               1.99e-05,               1.99e-05
