                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.527,                 3.4701,                 1.0617,                0.01944,                0.62443,                0.11455,                0.05409,                  1.683,                   4.12,                0.98925,             0.00032479,             0.00032479,             0.00032479
                      2,                 1.4294,                 2.4792,                 1.0007,                0.01985,                0.92472,                0.15241,                0.06954,                 1.5923,                 3.6199,                0.98249,              0.0006516,              0.0006516,              0.0006516
                      3,                 1.2711,                 2.1327,                0.97148,                 0.2511,                0.43645,                0.32963,                0.18917,                 1.4087,                 2.4129,                 1.0608,             0.00097182,             0.00097182,             0.00097182
                      4,                 1.2832,                 1.9699,                0.97557,                0.30995,                0.68929,                 0.3961,                0.23151,                 1.3504,                 2.0183,                 1.0612,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1766,                  1.787,                0.95364,                0.33623,                0.74561,                 0.4507,                 0.2253,                 1.7704,                 1.9139,                 1.2762,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.1931,                 1.7151,                0.95146,                0.46585,                0.71263,                0.57417,                0.35205,                  1.238,                 1.7032,                 1.0191,              0.0009505,              0.0009505,              0.0009505
                      7,                  1.165,                 1.6648,                0.94267,                0.44548,                0.74667,                0.59245,                0.34182,                  1.405,                 1.6589,                 1.1253,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.1555,                  1.579,                0.93744,                0.50116,                0.73723,                0.66115,                0.39231,                 1.3517,                 1.5095,                 1.0856,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.1141,                 1.4782,                0.93979,                0.61823,                0.64888,                0.69603,                0.43589,                 1.2224,                 1.4936,                 1.0509,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.1425,                 1.4791,                0.94123,                0.46225,                0.65491,                0.59219,                0.37486,                 1.1367,                 1.7268,                 0.9935,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.1496,                 1.4096,                0.93452,                 0.5877,                0.77155,                0.72431,                0.43753,                 1.2182,                 1.3987,                  1.024,               0.000901,               0.000901,               0.000901
                     12,                 1.1105,                 1.3442,                0.93762,                0.73891,                0.77966,                0.84804,                0.49008,                 1.4575,                 1.2647,                 1.1544,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.1061,                 1.2465,                0.93749,                0.76752,                0.79485,                0.86553,                0.53285,                 1.3183,                 1.1805,                 1.0894,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.1184,                 1.2185,                0.93137,                0.72286,                0.80881,                0.86187,                0.54765,                  1.266,                 1.0758,                 1.0603,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.1183,                 1.1946,                0.93747,                0.84959,                0.80103,                0.91097,                0.58307,                 1.1918,                 1.0406,                 1.0268,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.0843,                 1.1188,                0.92822,                0.86853,                0.83368,                  0.906,                0.53928,                 1.4123,                 1.0686,                 1.1592,              0.0008515,              0.0008515,              0.0008515
                     17,                  1.078,                 1.0748,                0.93189,                0.81056,                0.77783,                0.88125,                 0.5153,                 1.4311,                 1.0778,                 1.1798,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.1229,                 1.0854,                0.93854,                0.82666,                0.79224,                0.89492,                 0.5538,                 1.3307,                 1.0587,                 1.0955,              0.0008317,              0.0008317,              0.0008317
                     19,                  1.099,                 1.0393,                0.93059,                0.81953,                0.84702,                 0.9204,                0.53049,                 1.4415,                0.96651,                 1.1655,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.0742,                  1.012,                0.92558,                0.90045,                0.88461,                0.95141,                0.61722,                 1.2096,                0.86742,                 1.0383,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.0664,                0.98204,                 0.9128,                0.86563,                 0.8574,                 0.9386,                0.57528,                  1.346,                0.91525,                 1.1252,               0.000802,               0.000802,               0.000802
                     22,                 1.0746,                0.94788,                0.92924,                0.89108,                0.86717,                0.94474,                0.58112,                 1.3606,                0.87808,                 1.1079,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.0662,                0.93206,                 0.9316,                0.90189,                0.88339,                0.95083,                0.64385,                 1.1645,                0.80451,                 1.0304,              0.0007822,              0.0007822,              0.0007822
                     24,                  1.086,                0.89886,                0.92544,                0.86055,                0.92623,                0.95701,                0.63164,                 1.2082,                0.78948,                 1.0339,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.0479,                0.90964,                0.92528,                0.87614,                0.85391,                0.93361,                0.59713,                 1.2783,                0.87938,                 1.0718,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.0779,                0.89784,                0.92915,                0.93206,                0.92805,                0.97242,                0.61281,                 1.2852,                0.75722,                 1.0633,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.0811,                0.87718,                0.93225,                0.95038,                0.90085,                0.97589,                0.61543,                 1.3187,                0.73072,                 1.1007,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.0732,                 0.8653,                0.91863,                0.92123,                0.86562,                0.96648,                0.62083,                 1.2743,                0.76298,                 1.0708,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.0625,                0.84396,                0.91894,                0.89712,                0.91564,                0.95546,                0.56269,                 1.4904,                0.77877,                 1.1867,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.0451,                0.82613,                 0.9174,                0.93871,                 0.9459,                0.97527,                0.65597,                 1.1655,                0.66836,                 1.0247,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.0162,                0.83195,                0.91305,                0.92719,                0.95165,                0.97756,                0.65783,                 1.1393,                0.66637,                 1.0028,               0.000703,               0.000703,               0.000703
                     32,                 1.0106,                0.78935,                0.91439,                0.93635,                0.92942,                0.97468,                0.64132,                 1.2102,                0.66965,                 1.0476,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.0095,                0.77851,                0.91101,                0.94243,                0.93764,                0.97912,                0.63896,                 1.2235,                0.65351,                 1.0485,              0.0006832,              0.0006832,              0.0006832
