                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.169,                 1.1687,                0.99498,                0.78016,                 0.7919,                0.83965,                0.56268,                 1.1452,                 1.2772,                  1.058,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.1608,                 1.1955,                 0.9618,                0.78622,                0.82451,                0.89498,                0.51827,                 1.3714,                 1.2516,                 1.1757,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.1593,                 1.1316,                0.96365,                0.78648,                0.81314,                0.88447,                0.60573,                 1.1052,                 1.0681,                 1.0588,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.1353,                 1.1375,                0.97484,                0.76775,                0.82011,                0.88098,                0.60666,                 1.0973,                 1.0687,                 1.0494,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.1876,                 1.1225,                0.97886,                 0.8366,                0.83956,                0.92165,                0.55686,                 1.3644,                 1.0577,                 1.1718,              0.0006238,              0.0006238,              0.0006238
                     40,                  1.131,                 1.0787,                0.97289,                0.87553,                0.84703,                0.91457,                0.59872,                 1.2096,                 1.0008,                 1.0939,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.1478,                 1.0495,                0.96928,                0.81347,                0.85759,                0.91863,                0.60193,                 1.1899,                 1.0218,                 1.0726,               0.000604,               0.000604,               0.000604
                     42,                 1.1297,                 1.0509,                0.96992,                0.75572,                0.84518,                0.90543,                 0.6341,                 1.0765,                  1.044,                 1.0347,              0.0005941,              0.0005941,              0.0005941
                     43,                  1.151,                 1.0575,                0.97006,                0.89225,                0.87691,                0.95373,                0.49934,                 1.5929,                 1.0147,                 1.2623,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.1863,                 1.0342,                 0.9977,                0.81754,                0.85915,                0.91127,                0.54657,                  1.322,                 1.1605,                 1.1232,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.1075,                 1.0011,                0.96225,                0.84367,                0.87605,                0.93135,                0.62898,                 1.1396,                0.92062,                 1.0533,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.1942,                 1.0143,                0.97823,                0.91258,                0.86251,                0.94585,                0.52311,                 1.5085,                0.90634,                 1.2312,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.1818,                 1.0102,                0.99102,                0.85666,                0.88681,                0.93863,                0.66472,                 1.0412,                0.87583,                 1.0268,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.1668,                0.96558,                0.97316,                0.86246,                0.86963,                  0.948,                 0.5945,                 1.2413,                0.89286,                 1.1128,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.1193,                0.90443,                0.98611,                0.86867,                0.86759,                0.95376,                0.64716,                 1.1235,                0.85973,                 1.0687,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.1084,                0.93002,                0.96502,                0.83925,                0.89821,                0.94047,                0.67909,                 1.0056,                0.89063,                 1.0075,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.1335,                0.92385,                 0.9733,                0.92618,                0.93007,                0.96905,                0.63054,                  1.194,                0.75971,                 1.1093,               0.000505,               0.000505,               0.000505
                     52,                 1.1532,                0.93155,                0.97333,                0.87071,                0.86874,                 0.9475,                0.65311,                 1.1101,                0.82147,                  1.057,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.1088,                0.86131,                0.96787,                0.82759,                0.87169,                0.93457,                 0.6646,                  1.053,                0.83506,                 1.0275,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.1353,                0.87221,                0.98505,                0.90903,                0.93435,                0.97008,                0.66085,                 1.1378,                0.73242,                 1.0645,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.1625,                0.88668,                0.98285,                0.93711,                0.90931,                0.97502,                0.63877,                 1.1841,                0.71764,                 1.0908,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.1095,                0.91693,                0.96369,                0.92647,                 0.9494,                0.97808,                0.54157,                 1.5245,                0.77908,                 1.2371,              0.0004555,              0.0004555,              0.0004555
                     57,                  1.108,                0.87319,                0.96753,                0.89881,                0.92922,                0.96334,                0.47156,                 1.7197,                0.83618,                 1.3445,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.1113,                0.91242,                0.95044,                0.92292,                0.93664,                0.97421,                0.57774,                 1.3947,                0.75518,                 1.1932,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.1214,                0.85957,                 0.9702,                0.88397,                0.93271,                0.95204,                 0.5052,                 1.5627,                0.80576,                  1.273,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.0774,                0.83758,                0.95204,                0.92635,                0.89994,                0.96406,                 0.4567,                 1.7635,                0.81035,                 1.3905,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.0968,                0.84559,                0.96181,                0.95642,                0.90685,                0.97483,                 0.5339,                 1.5275,                0.75274,                 1.2651,               0.000406,               0.000406,               0.000406
                     62,                 1.1198,                0.81284,                0.98572,                0.92721,                 0.9278,                0.96877,                0.62745,                 1.2052,                0.72136,                 1.0985,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.1167,                0.81839,                0.95015,                0.94382,                0.92578,                0.97563,                0.58954,                 1.3437,                0.70692,                 1.1592,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.0591,                0.78668,                0.93968,                0.93389,                0.89592,                0.96947,                0.58279,                 1.3808,                0.75046,                   1.18,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.0896,                0.79741,                0.97212,                0.94357,                0.91994,                0.96671,                0.57934,                 1.3803,                0.74419,                 1.1783,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.1058,                0.82874,                0.95784,                0.91857,                0.93099,                 0.9652,                0.57558,                 1.4025,                0.74137,                 1.1871,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.0752,                0.77648,                 0.9472,                0.91136,                0.94017,                0.96819,                 0.5858,                 1.3639,                0.71786,                 1.1613,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.0519,                0.77293,                0.95252,                0.91438,                0.92705,                0.96823,                0.63525,                 1.2238,                0.67398,                 1.0948,              0.0003367,              0.0003367,              0.0003367
                     69,                  1.051,                0.74963,                0.93649,                0.93062,                 0.8952,                 0.9668,                0.53571,                 1.5875,                0.71745,                 1.2916,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.0811,                0.76761,                 0.9705,                0.93316,                0.89921,                0.96778,                 0.6581,                 1.1736,                0.69843,                 1.0792,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.1099,                0.80922,                0.96413,                0.86308,                0.91573,                0.95887,                 0.4645,                 1.7407,                 0.8526,                 1.3595,               0.000307,               0.000307,               0.000307
                     72,                 1.0701,                0.76101,                 0.9474,                0.90229,                0.88534,                0.95859,                0.43637,                 1.8447,                0.85659,                 1.4433,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.0585,                0.78853,                0.94676,                0.89359,                0.88412,                0.95233,                0.49049,                  1.641,                0.81897,                 1.3197,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.0736,                 0.7501,                0.94489,                0.91688,                0.90075,                0.95619,                0.44765,                 1.8275,                0.82587,                 1.4238,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.0463,                0.75096,                0.94895,                0.93559,                0.94083,                0.97194,                 0.5517,                 1.4711,                0.69536,                 1.2273,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.0616,                0.75294,                0.95709,                0.95744,                0.92502,                0.97518,                0.59182,                 1.3787,                0.67114,                 1.1785,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.0405,                0.76675,                 0.9429,                0.93275,                0.93347,                0.96377,                0.52125,                 1.5922,                0.75724,                  1.293,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.0476,                0.73986,                0.95423,                0.93384,                0.86254,                 0.9664,                0.59391,                 1.3523,                0.70784,                  1.168,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.0844,                 0.7246,                0.97158,                0.93831,                0.90651,                0.97361,                0.67788,                  1.125,                0.63391,                 1.0626,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.0377,                0.71886,                0.96747,                 0.9385,                0.92291,                0.97318,                0.66284,                  1.197,                0.63131,                 1.0871,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.0233,                0.74177,                0.93165,                0.92186,                0.92677,                0.97027,                0.54848,                 1.5189,                0.66756,                 1.2523,               0.000208,               0.000208,               0.000208
                     82,                 1.0306,                0.72899,                0.93118,                 0.9245,                0.90641,                0.96991,                0.55946,                 1.4843,                0.67204,                 1.2393,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.0401,                0.70441,                0.95706,                 0.9288,                0.90636,                0.97521,                0.63784,                 1.2397,                0.63483,                   1.12,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.0575,                0.72289,                0.95541,                0.95162,                0.91232,                 0.9754,                0.55504,                  1.478,                0.66659,                 1.2309,              0.0001783,              0.0001783,              0.0001783
                     85,                 1.0178,                0.70337,                0.94694,                0.93603,                0.94839,                0.97877,                  0.646,                 1.2184,                0.60425,                 1.1088,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.0287,                0.69442,                0.94854,                 0.9498,                0.92734,                0.97628,                0.61813,                 1.2893,                0.61457,                 1.1454,              0.0001585,              0.0001585,              0.0001585
                     87,                   1.04,                0.70013,                0.94653,                0.95421,                0.91444,                0.97539,                0.55633,                 1.4829,                  0.662,                 1.2342,              0.0001486,              0.0001486,              0.0001486
                     88,                 1.0299,                0.69864,                0.94408,                0.94629,                0.91829,                0.97224,                0.64601,                 1.2081,                0.61908,                 1.1014,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.0003,                0.66571,                0.93302,                0.94223,                0.92611,                0.97795,                0.64131,                  1.231,                0.61311,                 1.1134,              0.0001288,              0.0001288,              0.0001288
                     90,                 1.0705,                0.70855,                0.94894,                0.93997,                0.93106,                0.97887,                0.57664,                 1.4306,                0.64121,                 1.2143,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.0137,                0.64796,                0.97912,                0.93862,                0.90472,                 0.9718,                0.66346,                 1.1436,                0.61744,                 1.0773,               0.000109,               0.000109,               0.000109
                     92,                 1.0204,                0.64777,                0.96354,                0.89947,                0.94755,                0.96607,                0.65166,                 1.1865,                0.64488,                 1.0934,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.97138,                0.60628,                0.96681,                0.91902,                0.94677,                0.96936,                0.58507,                 1.3749,                0.65795,                  1.187,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.96646,                0.60129,                0.95273,                0.93051,                0.93107,                0.97431,                0.59575,                 1.3475,                0.62613,                 1.1726,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.95834,                0.59176,                0.96002,                0.92005,                0.94317,                0.97457,                 0.6333,                 1.2232,                0.60216,                 1.1146,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.97256,                 0.6213,                0.96198,                0.94122,                0.93485,                0.97298,                0.64266,                 1.1965,                0.59549,                 1.1023,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.96252,                0.59197,                0.96825,                0.93175,                0.94087,                0.97179,                0.66438,                 1.1306,                0.58834,                 1.0703,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.96691,                0.59429,                0.95831,                  0.921,                0.94512,                 0.9716,                0.67702,                 1.1097,                0.58722,                 1.0602,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.94688,                0.57762,                0.95145,                0.93118,                0.93202,                0.97184,                 0.6536,                 1.1681,                0.59252,                 1.0856,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.94244,                  0.577,                 0.9449,                0.93076,                0.94406,                0.97203,                0.64121,                 1.2023,                0.59244,                 1.1016,               1.99e-05,               1.99e-05,               1.99e-05
